DEBUG:root:Started application on port 8080
INFO:tornado.access:200 POST /get_current_periods (::1) 66.53ms
INFO:tornado.access:200 POST /get_instituicao (::1) 72.57ms
INFO:tornado.access:200 POST /get_instituicao (::1) 52.72ms
INFO:tornado.access:200 GET /get_suspected_materials (::1) 44.06ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 756.74ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 905.65ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 171.39ms
INFO:tornado.access:200 POST /get_current_periods (::1) 26.68ms
INFO:tornado.access:200 POST /get_instituicao (::1) 45.37ms
INFO:tornado.access:200 POST /get_instituicao (::1) 39.21ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 30.94ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 850.70ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1139.86ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 241.86ms
INFO:tornado.access:200 POST /get_current_periods (::1) 29.49ms
INFO:tornado.access:200 POST /get_instituicao (::1) 91.50ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 69.68ms
INFO:tornado.access:200 POST /get_instituicao (::1) 91.86ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 456.66ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 727.15ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 78.50ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.50ms
INFO:tornado.access:200 POST /get_instituicao (::1) 53.33ms
INFO:tornado.access:200 POST /get_instituicao (::1) 46.53ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 36.85ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 768.99ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 906.50ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 201.58ms
INFO:tornado.access:200 POST /get_current_periods (::1) 7.43ms
INFO:tornado.access:200 POST /get_instituicao (::1) 19.89ms
INFO:tornado.access:200 POST /get_instituicao (::1) 68.49ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 67.48ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 896.11ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1080.27ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 57.41ms
INFO:tornado.access:200 POST /get_current_periods (::1) 22.78ms
INFO:tornado.access:200 POST /get_instituicao (::1) 42.37ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 46.11ms
INFO:tornado.access:200 POST /get_instituicao (::1) 46.36ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 482.53ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 595.36ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 95.20ms
INFO:tornado.access:204 OPTIONS /get_current_periods (::1) 0.82ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 4.81ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 1.36ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 0.95ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 1.00ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 12.84ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.94ms
INFO:tornado.access:200 POST /get_instituicao (::1) 19.94ms
INFO:tornado.access:200 POST /get_instituicao (::1) 15.93ms
